what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1588855296564
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, /cygdrive/c/altera/13.0sp1/nios_led/software/uart_handler/uart_handler.elf] return code: 8",1588855301695
error,log,,,"Downloading ELF Process failed",1588855301697
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855372920
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855375540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855455292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855460465
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1588855469517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855480786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1588855481033
error,log,,,"No Byte Stream Services found for Nios II Console View",1588855492451
